Staff_ID,Staff_Type,Shift_Date,Shift_Start_Time,Shift_End_Time,Current_Assignment,Hours_Worked,Patients_Assigned,Overtime_Hours,Shift_Start_Time_Parsed,Shift_End_Time_Parsed,Shift_Duration_Hours,Flag_HoursExceedShift,Expected_OT
S036,Nurse,2024-10-25,08:00 AM,06:00 AM,ER,9,9,4,08:00:00,06:00:00,22.0,False,1
S037,Technician,2024-10-01,08:00 AM,06:00 PM,ER,9,7,3,08:00:00,18:00:00,10.0,False,1
S038,Technician,2024-10-12,07:00 AM,06:00 AM,General Ward,10,2,1,07:00:00,06:00:00,23.0,False,2
S039,Technician,2024-10-02,07:00 AM,06:00 PM,General Ward,8,2,4,07:00:00,18:00:00,11.0,False,0
S040,Technician,2024-10-03,08:00 AM,07:00 PM,ICU,8,9,3,08:00:00,19:00:00,11.0,False,0
S041,Technician,2024-10-24,08:00 AM,06:00 PM,ER,10,8,4,08:00:00,18:00:00,10.0,False,2
S042,Technician,2024-10-27,06:00 PM,06:00 PM,General Ward,9,5,1,18:00:00,18:00:00,0.0,True,1
S043,Technician,2024-10-24,07:00 AM,07:00 PM,General Ward,8,4,0,07:00:00,19:00:00,12.0,False,0
S044,Technician,2024-10-28,06:00 PM,06:00 PM,ER,10,4,1,18:00:00,18:00:00,0.0,True,2
S045,Nurse,2024-10-01,08:00 AM,06:00 PM,ER,11,4,4,08:00:00,18:00:00,10.0,True,3
S046,Technician,2024-10-07,07:00 AM,06:00 AM,ICU,10,7,2,07:00:00,06:00:00,23.0,False,2
S047,Technician,2024-10-22,07:00 AM,06:00 PM,ICU,11,7,2,07:00:00,18:00:00,11.0,False,3
S048,Nurse,2024-10-28,07:00 AM,06:00 AM,ER,11,8,4,07:00:00,06:00:00,23.0,False,3
S049,Nurse,2024-10-09,07:00 AM,06:00 PM,ICU,11,2,2,07:00:00,18:00:00,11.0,False,3
S050,Nurse,2024-10-25,08:00 AM,06:00 PM,ICU,9,7,3,08:00:00,18:00:00,10.0,False,1
S051,Nurse,2024-10-16,06:00 PM,06:00 AM,ER,8,7,4,18:00:00,06:00:00,12.0,False,0
S052,Nurse,2024-10-28,07:00 AM,06:00 AM,ER,11,2,3,07:00:00,06:00:00,23.0,False,3
S053,Nurse,2024-10-27,07:00 AM,06:00 AM,General Ward,8,8,4,07:00:00,06:00:00,23.0,False,0
S054,Surgeon,2024-10-15,06:00 PM,06:00 PM,ER,11,6,1,18:00:00,18:00:00,0.0,True,3
S055,Surgeon,2024-10-29,07:00 AM,06:00 AM,ICU,10,9,4,07:00:00,06:00:00,23.0,False,2
S056,Nurse,2024-10-20,07:00 AM,06:00 PM,ER,9,8,4,07:00:00,18:00:00,11.0,False,1
S057,Nurse,2024-10-21,08:00 AM,06:00 AM,General Ward,10,5,0,08:00:00,06:00:00,22.0,False,2
S058,Technician,2024-10-20,06:00 PM,07:00 PM,ER,11,6,2,18:00:00,19:00:00,1.0,True,3
S059,Technician,2024-10-02,06:00 PM,06:00 AM,ER,10,1,2,18:00:00,06:00:00,12.0,False,2
S060,Nurse,2024-10-12,06:00 PM,06:00 PM,ICU,10,6,1,18:00:00,18:00:00,0.0,True,2
S061,Technician,2024-10-14,07:00 AM,06:00 PM,General Ward,9,7,1,07:00:00,18:00:00,11.0,False,1
S062,Technician,2024-10-26,06:00 PM,06:00 PM,ICU,10,9,1,18:00:00,18:00:00,0.0,True,2
S063,Nurse,2024-10-26,08:00 AM,07:00 PM,General Ward,11,5,0,08:00:00,19:00:00,11.0,False,3
S064,Technician,2024-10-29,08:00 AM,07:00 PM,ICU,9,6,1,08:00:00,19:00:00,11.0,False,1
S065,Surgeon,2024-10-15,08:00 AM,06:00 AM,ICU,10,1,4,08:00:00,06:00:00,22.0,False,2
S066,Surgeon,2024-10-01,07:00 AM,07:00 PM,ICU,9,3,2,07:00:00,19:00:00,12.0,False,1
S067,Technician,2024-10-05,06:00 PM,07:00 PM,General Ward,11,2,3,18:00:00,19:00:00,1.0,True,3
S068,Surgeon,2024-10-27,07:00 AM,07:00 PM,ICU,8,2,4,07:00:00,19:00:00,12.0,False,0
S069,Nurse,2024-10-03,07:00 AM,06:00 PM,General Ward,10,9,4,07:00:00,18:00:00,11.0,False,2
S070,Nurse,2024-10-26,06:00 PM,06:00 AM,ICU,10,8,0,18:00:00,06:00:00,12.0,False,2
S071,Nurse,2024-10-20,07:00 AM,07:00 PM,General Ward,10,9,0,07:00:00,19:00:00,12.0,False,2
S072,Nurse,2024-10-26,06:00 PM,06:00 PM,General Ward,11,7,0,18:00:00,18:00:00,0.0,True,3
S073,Surgeon,2024-10-03,08:00 AM,07:00 PM,ICU,10,9,2,08:00:00,19:00:00,11.0,False,2
S074,Nurse,2024-10-08,08:00 AM,06:00 AM,ER,10,6,1,08:00:00,06:00:00,22.0,False,2
S075,Technician,2024-10-16,07:00 AM,06:00 AM,General Ward,10,2,2,07:00:00,06:00:00,23.0,False,2
S076,Nurse,2024-10-06,08:00 AM,06:00 PM,ER,10,5,2,08:00:00,18:00:00,10.0,False,2
S077,Surgeon,2024-10-09,06:00 PM,06:00 AM,ICU,11,2,2,18:00:00,06:00:00,12.0,False,3
S078,Technician,2024-10-12,08:00 AM,06:00 PM,ICU,11,4,2,08:00:00,18:00:00,10.0,True,3
S079,Technician,2024-10-11,06:00 PM,07:00 PM,General Ward,11,3,3,18:00:00,19:00:00,1.0,True,3
S080,Technician,2024-10-19,08:00 AM,06:00 PM,General Ward,8,8,1,08:00:00,18:00:00,10.0,False,0
S081,Surgeon,2024-10-06,08:00 AM,06:00 AM,ICU,11,1,2,08:00:00,06:00:00,22.0,False,3
S082,Technician,2024-10-13,08:00 AM,07:00 PM,General Ward,11,9,2,08:00:00,19:00:00,11.0,False,3
S083,Nurse,2024-10-01,06:00 PM,06:00 AM,General Ward,9,2,2,18:00:00,06:00:00,12.0,False,1
S084,Nurse,2024-10-02,08:00 AM,07:00 PM,ER,9,4,2,08:00:00,19:00:00,11.0,False,1
S085,Surgeon,2024-10-16,07:00 AM,06:00 PM,General Ward,8,5,1,07:00:00,18:00:00,11.0,False,0
S086,Surgeon,2024-10-23,08:00 AM,06:00 PM,ER,9,2,3,08:00:00,18:00:00,10.0,False,1
S087,Nurse,2024-10-27,07:00 AM,07:00 PM,ER,11,3,4,07:00:00,19:00:00,12.0,False,3
S088,Nurse,2024-10-16,07:00 AM,06:00 PM,General Ward,9,1,4,07:00:00,18:00:00,11.0,False,1
S089,Technician,2024-10-16,07:00 AM,06:00 AM,ICU,8,3,1,07:00:00,06:00:00,23.0,False,0
S090,Nurse,2024-10-14,08:00 AM,07:00 PM,General Ward,9,6,0,08:00:00,19:00:00,11.0,False,1
S091,Nurse,2024-10-14,08:00 AM,06:00 AM,ER,9,1,0,08:00:00,06:00:00,22.0,False,1
S092,Nurse,2024-10-25,06:00 PM,07:00 PM,General Ward,11,5,0,18:00:00,19:00:00,1.0,True,3
S093,Technician,2024-10-15,06:00 PM,06:00 AM,ER,9,7,3,18:00:00,06:00:00,12.0,False,1
S094,Technician,2024-10-02,07:00 AM,06:00 PM,General Ward,10,8,3,07:00:00,18:00:00,11.0,False,2
S095,Surgeon,2024-10-01,07:00 AM,06:00 AM,General Ward,11,6,0,07:00:00,06:00:00,23.0,False,3
S096,Technician,2024-10-03,08:00 AM,06:00 PM,ER,9,5,0,08:00:00,18:00:00,10.0,False,1
S097,Nurse,2024-10-12,07:00 AM,06:00 AM,ICU,11,8,2,07:00:00,06:00:00,23.0,False,3
S098,Surgeon,2024-10-22,06:00 PM,07:00 PM,ICU,10,9,2,18:00:00,19:00:00,1.0,True,2
S099,Nurse,2024-10-20,07:00 AM,06:00 AM,General Ward,9,2,0,07:00:00,06:00:00,23.0,False,1
S100,Nurse,2024-10-23,07:00 AM,06:00 AM,ER,11,3,3,07:00:00,06:00:00,23.0,False,3
S101,Nurse,2024-10-01,08:00 AM,07:00 PM,General Ward,11,1,3,08:00:00,19:00:00,11.0,False,3
S102,Nurse,2024-10-12,07:00 AM,06:00 PM,ER,11,9,0,07:00:00,18:00:00,11.0,False,3
S103,Surgeon,2024-10-18,08:00 AM,06:00 AM,ER,9,4,1,08:00:00,06:00:00,22.0,False,1
S104,Surgeon,2024-10-24,06:00 PM,06:00 AM,General Ward,8,8,2,18:00:00,06:00:00,12.0,False,0
S105,Technician,2024-10-29,07:00 AM,07:00 PM,General Ward,11,7,1,07:00:00,19:00:00,12.0,False,3
S106,Technician,2024-10-06,06:00 PM,07:00 PM,General Ward,10,9,3,18:00:00,19:00:00,1.0,True,2
S107,Nurse,2024-10-22,08:00 AM,06:00 AM,ER,10,2,1,08:00:00,06:00:00,22.0,False,2
S108,Surgeon,2024-10-26,06:00 PM,07:00 PM,ER,10,6,4,18:00:00,19:00:00,1.0,True,2
S109,Surgeon,2024-10-05,07:00 AM,06:00 PM,ICU,10,3,4,07:00:00,18:00:00,11.0,False,2
S110,Nurse,2024-10-07,08:00 AM,06:00 PM,General Ward,9,4,3,08:00:00,18:00:00,10.0,False,1
S111,Nurse,2024-10-12,07:00 AM,06:00 AM,ICU,10,9,3,07:00:00,06:00:00,23.0,False,2
S112,Technician,2024-10-13,06:00 PM,07:00 PM,ER,11,4,1,18:00:00,19:00:00,1.0,True,3
S113,Nurse,2024-10-08,08:00 AM,06:00 AM,ER,11,3,0,08:00:00,06:00:00,22.0,False,3
S114,Surgeon,2024-10-12,07:00 AM,06:00 PM,ER,11,5,3,07:00:00,18:00:00,11.0,False,3
S115,Technician,2024-10-17,06:00 PM,06:00 PM,General Ward,10,6,2,18:00:00,18:00:00,0.0,True,2
S116,Technician,2024-10-21,06:00 PM,06:00 PM,ER,11,8,0,18:00:00,18:00:00,0.0,True,3
S117,Surgeon,2024-10-15,08:00 AM,06:00 PM,ER,11,6,4,08:00:00,18:00:00,10.0,True,3
S118,Technician,2024-10-18,08:00 AM,06:00 PM,General Ward,9,8,0,08:00:00,18:00:00,10.0,False,1
S119,Technician,2024-10-16,07:00 AM,06:00 AM,ER,11,5,1,07:00:00,06:00:00,23.0,False,3
S120,Surgeon,2024-10-28,07:00 AM,06:00 PM,General Ward,9,2,3,07:00:00,18:00:00,11.0,False,1
S121,Technician,2024-10-19,08:00 AM,06:00 AM,General Ward,9,9,2,08:00:00,06:00:00,22.0,False,1
S122,Technician,2024-10-21,08:00 AM,06:00 PM,General Ward,11,3,1,08:00:00,18:00:00,10.0,True,3
S123,Surgeon,2024-10-01,08:00 AM,07:00 PM,General Ward,9,5,3,08:00:00,19:00:00,11.0,False,1
S124,Nurse,2024-10-10,07:00 AM,06:00 PM,General Ward,8,9,0,07:00:00,18:00:00,11.0,False,0
S125,Surgeon,2024-10-11,06:00 PM,07:00 PM,General Ward,8,6,4,18:00:00,19:00:00,1.0,True,0
S126,Technician,2024-10-17,08:00 AM,06:00 AM,ER,9,3,3,08:00:00,06:00:00,22.0,False,1
S127,Technician,2024-10-06,08:00 AM,07:00 PM,ER,11,2,3,08:00:00,19:00:00,11.0,False,3
S128,Surgeon,2024-10-26,08:00 AM,06:00 PM,General Ward,9,2,4,08:00:00,18:00:00,10.0,False,1
S129,Surgeon,2024-10-09,06:00 PM,07:00 PM,General Ward,11,3,1,18:00:00,19:00:00,1.0,True,3
S130,Surgeon,2024-10-28,06:00 PM,06:00 PM,ER,10,6,3,18:00:00,18:00:00,0.0,True,2
S131,Surgeon,2024-10-10,06:00 PM,06:00 PM,ICU,9,2,0,18:00:00,18:00:00,0.0,True,1
S132,Surgeon,2024-10-03,07:00 AM,06:00 AM,General Ward,9,5,2,07:00:00,06:00:00,23.0,False,1
S133,Technician,2024-10-26,07:00 AM,06:00 PM,ICU,8,1,3,07:00:00,18:00:00,11.0,False,0
S134,Surgeon,2024-10-04,06:00 PM,06:00 PM,General Ward,11,5,2,18:00:00,18:00:00,0.0,True,3
S135,Nurse,2024-10-25,06:00 PM,07:00 PM,ICU,8,9,4,18:00:00,19:00:00,1.0,True,0
S136,Surgeon,2024-10-25,08:00 AM,06:00 PM,General Ward,10,1,3,08:00:00,18:00:00,10.0,False,2
S137,Nurse,2024-10-25,07:00 AM,07:00 PM,ER,10,5,3,07:00:00,19:00:00,12.0,False,2
S138,Technician,2024-10-04,08:00 AM,06:00 AM,ER,9,1,2,08:00:00,06:00:00,22.0,False,1
S139,Surgeon,2024-10-07,08:00 AM,06:00 AM,ER,11,1,4,08:00:00,06:00:00,22.0,False,3
S140,Surgeon,2024-10-03,08:00 AM,06:00 AM,ICU,8,3,0,08:00:00,06:00:00,22.0,False,0
S141,Nurse,2024-10-20,07:00 AM,06:00 PM,ER,8,2,3,07:00:00,18:00:00,11.0,False,0
S142,Surgeon,2024-10-08,06:00 PM,07:00 PM,ER,11,4,0,18:00:00,19:00:00,1.0,True,3
S143,Nurse,2024-10-04,07:00 AM,06:00 PM,ER,10,9,1,07:00:00,18:00:00,11.0,False,2
S144,Nurse,2024-10-22,06:00 PM,07:00 PM,ER,10,2,3,18:00:00,19:00:00,1.0,True,2
S145,Surgeon,2024-10-18,08:00 AM,06:00 PM,ER,8,6,2,08:00:00,18:00:00,10.0,False,0
S146,Surgeon,2024-10-19,07:00 AM,06:00 AM,General Ward,9,6,4,07:00:00,06:00:00,23.0,False,1
S147,Nurse,2024-10-05,08:00 AM,06:00 AM,General Ward,8,6,0,08:00:00,06:00:00,22.0,False,0
S148,Surgeon,2024-10-05,06:00 PM,06:00 AM,ER,10,6,1,18:00:00,06:00:00,12.0,False,2
S149,Nurse,2024-10-06,06:00 PM,07:00 PM,General Ward,11,5,3,18:00:00,19:00:00,1.0,True,3
S150,Technician,2024-10-03,08:00 AM,07:00 PM,ER,9,6,1,08:00:00,19:00:00,11.0,False,1
S151,Nurse,2024-10-17,08:00 AM,06:00 AM,ER,8,6,0,08:00:00,06:00:00,22.0,False,0
S152,Technician,2024-10-26,08:00 AM,06:00 PM,ICU,8,7,2,08:00:00,18:00:00,10.0,False,0
S153,Nurse,2024-10-22,06:00 PM,06:00 AM,General Ward,11,4,2,18:00:00,06:00:00,12.0,False,3
S154,Technician,2024-10-01,06:00 PM,06:00 AM,General Ward,8,9,3,18:00:00,06:00:00,12.0,False,0
S155,Nurse,2024-10-28,06:00 PM,07:00 PM,ICU,11,9,0,18:00:00,19:00:00,1.0,True,3
S156,Technician,2024-10-21,08:00 AM,06:00 PM,ICU,8,5,3,08:00:00,18:00:00,10.0,False,0
S157,Nurse,2024-10-04,06:00 PM,06:00 AM,ER,10,2,4,18:00:00,06:00:00,12.0,False,2
S158,Technician,2024-10-24,07:00 AM,06:00 PM,ER,8,9,1,07:00:00,18:00:00,11.0,False,0
S159,Surgeon,2024-10-02,07:00 AM,06:00 PM,ER,9,5,3,07:00:00,18:00:00,11.0,False,1
S160,Technician,2024-10-01,08:00 AM,06:00 PM,ER,10,7,1,08:00:00,18:00:00,10.0,False,2
S161,Technician,2024-10-21,07:00 AM,06:00 AM,ER,10,3,4,07:00:00,06:00:00,23.0,False,2
S162,Technician,2024-10-02,06:00 PM,06:00 PM,ICU,10,9,3,18:00:00,18:00:00,0.0,True,2
S163,Nurse,2024-10-05,07:00 AM,07:00 PM,ER,10,8,0,07:00:00,19:00:00,12.0,False,2
S164,Surgeon,2024-10-23,06:00 PM,06:00 PM,ICU,9,1,2,18:00:00,18:00:00,0.0,True,1
S165,Surgeon,2024-10-10,08:00 AM,07:00 PM,ICU,8,2,0,08:00:00,19:00:00,11.0,False,0
S166,Nurse,2024-10-20,08:00 AM,07:00 PM,ICU,10,1,4,08:00:00,19:00:00,11.0,False,2
S167,Technician,2024-10-09,07:00 AM,07:00 PM,ER,11,2,3,07:00:00,19:00:00,12.0,False,3
S168,Nurse,2024-10-07,08:00 AM,07:00 PM,ICU,8,8,1,08:00:00,19:00:00,11.0,False,0
S169,Technician,2024-10-18,08:00 AM,06:00 PM,General Ward,8,3,4,08:00:00,18:00:00,10.0,False,0
S170,Surgeon,2024-10-21,07:00 AM,07:00 PM,ER,11,5,3,07:00:00,19:00:00,12.0,False,3
S171,Surgeon,2024-10-07,07:00 AM,06:00 PM,ICU,9,1,2,07:00:00,18:00:00,11.0,False,1
S172,Nurse,2024-10-10,07:00 AM,06:00 AM,General Ward,8,5,2,07:00:00,06:00:00,23.0,False,0
S173,Nurse,2024-10-10,08:00 AM,06:00 AM,ER,9,2,4,08:00:00,06:00:00,22.0,False,1
S174,Nurse,2024-10-16,06:00 PM,06:00 PM,ICU,10,1,1,18:00:00,18:00:00,0.0,True,2
S175,Nurse,2024-10-15,06:00 PM,06:00 PM,General Ward,10,3,1,18:00:00,18:00:00,0.0,True,2
S176,Technician,2024-10-20,06:00 PM,07:00 PM,ER,8,1,0,18:00:00,19:00:00,1.0,True,0
S177,Nurse,2024-10-09,08:00 AM,06:00 AM,ER,10,9,2,08:00:00,06:00:00,22.0,False,2
S178,Technician,2024-10-23,07:00 AM,06:00 AM,General Ward,9,9,4,07:00:00,06:00:00,23.0,False,1
S179,Nurse,2024-10-11,07:00 AM,06:00 PM,General Ward,11,8,3,07:00:00,18:00:00,11.0,False,3
S180,Technician,2024-10-02,06:00 PM,07:00 PM,General Ward,11,6,1,18:00:00,19:00:00,1.0,True,3
S181,Technician,2024-10-12,08:00 AM,07:00 PM,ER,11,1,2,08:00:00,19:00:00,11.0,False,3
S182,Nurse,2024-10-08,07:00 AM,07:00 PM,ER,10,4,2,07:00:00,19:00:00,12.0,False,2
S183,Nurse,2024-10-21,08:00 AM,06:00 PM,ER,8,6,4,08:00:00,18:00:00,10.0,False,0
S184,Surgeon,2024-10-26,07:00 AM,07:00 PM,ICU,9,3,0,07:00:00,19:00:00,12.0,False,1
S185,Nurse,2024-10-22,06:00 PM,06:00 PM,ER,10,2,1,18:00:00,18:00:00,0.0,True,2
S186,Nurse,2024-10-13,08:00 AM,06:00 AM,General Ward,10,3,1,08:00:00,06:00:00,22.0,False,2
S187,Technician,2024-10-10,06:00 PM,06:00 PM,ER,8,9,2,18:00:00,18:00:00,0.0,True,0
S188,Technician,2024-10-27,06:00 PM,06:00 PM,ICU,10,7,0,18:00:00,18:00:00,0.0,True,2
S189,Nurse,2024-10-10,07:00 AM,06:00 AM,General Ward,9,3,0,07:00:00,06:00:00,23.0,False,1
S190,Technician,2024-10-13,07:00 AM,06:00 AM,General Ward,8,6,0,07:00:00,06:00:00,23.0,False,0
S191,Surgeon,2024-10-03,08:00 AM,06:00 PM,ICU,11,8,0,08:00:00,18:00:00,10.0,True,3
S192,Technician,2024-10-12,06:00 PM,06:00 AM,ICU,9,9,3,18:00:00,06:00:00,12.0,False,1
S193,Technician,2024-10-07,07:00 AM,07:00 PM,ICU,9,4,0,07:00:00,19:00:00,12.0,False,1
S194,Surgeon,2024-10-05,07:00 AM,06:00 PM,ER,10,7,4,07:00:00,18:00:00,11.0,False,2
S195,Surgeon,2024-10-14,07:00 AM,06:00 PM,ICU,8,9,0,07:00:00,18:00:00,11.0,False,0
S196,Surgeon,2024-10-07,06:00 PM,06:00 PM,ICU,9,9,3,18:00:00,18:00:00,0.0,True,1
S197,Nurse,2024-10-29,08:00 AM,06:00 AM,ER,10,5,1,08:00:00,06:00:00,22.0,False,2
S198,Technician,2024-10-13,07:00 AM,07:00 PM,ICU,8,8,2,07:00:00,19:00:00,12.0,False,0
S199,Surgeon,2024-10-10,07:00 AM,07:00 PM,ER,8,9,0,07:00:00,19:00:00,12.0,False,0
S200,Nurse,2024-10-02,06:00 PM,07:00 PM,General Ward,9,5,0,18:00:00,19:00:00,1.0,True,1
S201,Surgeon,2024-10-05,07:00 AM,06:00 AM,General Ward,10,8,1,07:00:00,06:00:00,23.0,False,2
S202,Surgeon,2024-10-27,06:00 PM,06:00 AM,General Ward,9,7,2,18:00:00,06:00:00,12.0,False,1
S203,Surgeon,2024-10-09,08:00 AM,06:00 PM,ER,9,3,3,08:00:00,18:00:00,10.0,False,1
S204,Surgeon,2024-10-19,06:00 PM,07:00 PM,General Ward,8,2,3,18:00:00,19:00:00,1.0,True,0
S205,Nurse,2024-10-17,06:00 PM,06:00 PM,ER,8,2,0,18:00:00,18:00:00,0.0,True,0
S206,Nurse,2024-10-14,06:00 PM,06:00 AM,ICU,10,8,1,18:00:00,06:00:00,12.0,False,2
S207,Surgeon,2024-10-18,07:00 AM,06:00 AM,ER,8,2,3,07:00:00,06:00:00,23.0,False,0
S208,Surgeon,2024-10-29,06:00 PM,06:00 PM,ICU,9,3,2,18:00:00,18:00:00,0.0,True,1
S209,Surgeon,2024-10-06,07:00 AM,06:00 AM,General Ward,11,2,0,07:00:00,06:00:00,23.0,False,3
S210,Technician,2024-10-25,06:00 PM,06:00 AM,ICU,10,2,3,18:00:00,06:00:00,12.0,False,2
S211,Surgeon,2024-10-09,07:00 AM,06:00 AM,ICU,10,9,4,07:00:00,06:00:00,23.0,False,2
S212,Surgeon,2024-10-23,07:00 AM,07:00 PM,ICU,9,9,0,07:00:00,19:00:00,12.0,False,1
S213,Technician,2024-10-16,07:00 AM,06:00 PM,ER,8,2,0,07:00:00,18:00:00,11.0,False,0
S214,Technician,2024-10-24,06:00 PM,06:00 PM,ER,11,6,0,18:00:00,18:00:00,0.0,True,3
S215,Surgeon,2024-10-17,06:00 PM,06:00 AM,General Ward,10,6,1,18:00:00,06:00:00,12.0,False,2
S216,Technician,2024-10-13,07:00 AM,06:00 AM,ICU,10,1,0,07:00:00,06:00:00,23.0,False,2
S217,Technician,2024-10-02,07:00 AM,07:00 PM,ER,8,5,3,07:00:00,19:00:00,12.0,False,0
S218,Technician,2024-10-22,06:00 PM,06:00 AM,General Ward,8,5,4,18:00:00,06:00:00,12.0,False,0
S219,Nurse,2024-10-06,07:00 AM,07:00 PM,ER,8,7,4,07:00:00,19:00:00,12.0,False,0
S220,Technician,2024-10-19,08:00 AM,07:00 PM,ER,11,9,1,08:00:00,19:00:00,11.0,False,3
S221,Nurse,2024-10-24,06:00 PM,06:00 PM,General Ward,8,1,3,18:00:00,18:00:00,0.0,True,0
S222,Nurse,2024-10-29,07:00 AM,06:00 PM,General Ward,9,4,1,07:00:00,18:00:00,11.0,False,1
S223,Nurse,2024-10-08,06:00 PM,06:00 AM,ER,8,4,1,18:00:00,06:00:00,12.0,False,0
S224,Nurse,2024-10-21,06:00 PM,06:00 PM,ICU,8,4,0,18:00:00,18:00:00,0.0,True,0
S225,Nurse,2024-10-19,08:00 AM,06:00 PM,General Ward,10,4,2,08:00:00,18:00:00,10.0,False,2
S226,Technician,2024-10-02,08:00 AM,07:00 PM,General Ward,9,2,1,08:00:00,19:00:00,11.0,False,1
S227,Technician,2024-10-23,06:00 PM,07:00 PM,General Ward,11,6,1,18:00:00,19:00:00,1.0,True,3
S228,Technician,2024-10-26,08:00 AM,06:00 AM,General Ward,11,4,4,08:00:00,06:00:00,22.0,False,3
S229,Technician,2024-10-16,08:00 AM,07:00 PM,ER,8,3,2,08:00:00,19:00:00,11.0,False,0
S230,Technician,2024-10-18,07:00 AM,06:00 PM,ER,11,3,2,07:00:00,18:00:00,11.0,False,3
S231,Technician,2024-10-18,08:00 AM,06:00 PM,ER,10,8,4,08:00:00,18:00:00,10.0,False,2
S232,Nurse,2024-10-24,08:00 AM,06:00 PM,General Ward,10,2,4,08:00:00,18:00:00,10.0,False,2
S233,Technician,2024-10-05,08:00 AM,07:00 PM,ER,9,3,1,08:00:00,19:00:00,11.0,False,1
